id,ano,departamento,salario,bonus
1,2023,Recursos Humanos,50000,10000
2,2023,Vendas,60000,350000
3,2022,Tecnologia,75000,100000
4,2024,Marketing,55000,80000
5,2023,Financeiro,70000,90000
6,2023,Operações,48000,0
7,2022,Marketing,52000,30000
8,2023,Vendas,45000,50000
9,2024,Operações,72000,25000
10,2023,Tecnologia,48000,45000
11,2023,Financeiro,48000,0
12,2024,Recursos Humanos,48000,40000
13,2022,Recursos Humanos,62000,20000
14,2024,Operações,44000,30000
15,2023,Financeiro,55000,15000
16,2023,Marketing,58000,20000
17,2022,Operações,54000,40000
18,2023,Tecnologia,70000,35000
19,2024,Tecnologia,58000,20000
20,2022,Vendas,75000,25000
21,2023,Recursos Humanos,56000,30000
22,2024,Marketing,53000,22000
23,2023,Operações,60000,10000
24,2022,Tecnologia,72000,12000
25,2024,Financeiro,68000,20000
26,2023,Vendas,52000,28000
27,2023,Operações,48000,15000
28,2022,Marketing,55000,35000
29,2024,Recursos Humanos,51000,18000
30,2023,Tecnologia,58000,24000
31,2023,Operações,49000,10000
32,2022,Recursos Humanos,67000,30000
33,2024,Vendas,49000,20000
34,2023,Operações,54000,22000
35,2023,Tecnologia,69000,32000
36,2022,Financeiro,61000,22000
37,2024,Vendas,58000,10000
38,2023,Operações,48000,15000
39,2023,Marketing,56000,30000
40,2022,Recursos Humanos,47000,16000
41,2024,Tecnologia,49000,24000
42,2023,Operações,54000,14000
43,2023,Vendas,61000,33000
44,2022,Financeiro,57000,27000
45,2024,Operações,60000,12000
46,2023,Tecnologia,52000,18000
47,2023,Recursos Humanos,54000,19000
48,2022,Marketing,58000,22000
49,2024,Vendas,50000,10000
50,2023,Operações,53000,28000
